S.No,Ellapsed,Time,Reading
62,2.180813189,11-36-42-1851,379
63,2.18885954,11-36-42-1931,381
64,2.201297319,11-36-42-2056,379
65,2.209395777,11-36-42-2137,380
66,2.221592863,11-36-42-2259,378
67,2.229832695,11-36-42-2341,380
68,2.242038712,11-36-42-2463,377
69,2.250548313,11-36-42-2548,379
70,2.26271763,11-36-42-2670,376
71,2.2709854,11-36-42-2752,378
72,2.283185446,11-36-42-2875,375
73,2.291223593,11-36-42-2955,377
74,2.299712486,11-36-42-3040,374
75,2.311660955,11-36-42-3159,376
76,2.32046407,11-36-42-3246,374
77,2.332399012,11-36-42-3367,376
78,2.340362129,11-36-42-3446,373
79,2.352877822,11-36-42-3571,375
80,2.36081387,11-36-42-3651,372
81,2.369356911,11-36-42-3736,374
82,2.381428883,11-36-42-3857,371
83,2.389535475,11-36-42-3938,373
84,2.402134527,11-36-42-4064,371
85,2.409927475,11-36-42-4142,373
86,2.422354018,11-36-42-4266,370
87,2.430658802,11-36-42-4349,372
88,2.442810033,11-36-42-4471,369
89,2.451262786,11-36-42-4555,371
90,2.463413049,11-36-42-4677,368
91,2.471504958,11-36-42-4758,370
92,2.484025426,11-36-42-4883,368
93,2.491910306,11-36-42-4962,369
94,2.500416623,11-36-42-5047,367
95,2.512484771,11-36-42-5168,369
96,2.520721448,11-36-42-5250,366
97,2.533095689,11-36-42-5374,368
98,2.541092934,11-36-42-5454,365
99,2.553644799,11-36-42-5579,367
100,2.56151472,11-36-42-5658,365
101,2.573792145,11-36-42-5781,367
102,2.582094466,11-36-42-5864,364
103,2.590216658,11-36-42-5945,366
104,2.60281364,11-36-42-6071,363
105,2.610666174,11-36-42-6149,365
106,2.623028653,11-36-42-6273,363
107,2.631371258,11-36-42-6356,365
108,2.643425553,11-36-42-6477,362
109,2.651853661,11-36-42-6561,364
110,2.664093078,11-36-42-6684,361
111,2.672205925,11-36-42-6765,363
112,2.680485433,11-36-42-6848,361
113,2.6926417,11-36-42-6969,363
114,2.701013095,11-36-42-7053,360
115,2.713229125,11-36-42-7175,362
116,2.721367921,11-36-42-7256,359
117,2.733889816,11-36-42-7381,361
118,2.74175268,11-36-42-7460,359
119,2.754248012,11-36-42-7585,361
120,2.762283258,11-36-42-7666,358
121,2.774514922,11-36-42-7788,360
122,2.782982483,11-36-42-7873,358
123,2.794953455,11-36-42-7992,359
124,2.803611117,11-36-42-8078,357
125,2.811354932,11-36-42-8156,359
126,2.823664367,11-36-42-8279,356
127,2.831903988,11-36-42-8362,358
128,2.84418271,11-36-42-8485,356
129,2.85263706,11-36-42-8569,358
130,2.864801046,11-36-42-8691,355
131,2.872889953,11-36-42-8772,357
132,2.881179458,11-36-42-8855,355
133,2.893295323,11-36-42-8976,357
134,2.901824434,11-36-42-9061,354
135,2.913943553,11-36-42-9182,356
136,2.92206064,11-36-42-9263,354
137,2.934197038,11-36-42-9385,355
138,2.942387364,11-36-42-9467,353
139,2.954811927,11-36-42-9591,355
140,2.962898518,11-36-42-9672,353
141,2.975218908,11-36-42-9795,354
142,2.98370755,11-36-42-9880,352
143,2.995734757,11-36-43-0000,353
144,3.004029532,11-36-43-0083,352
145,3.01206486,11-36-43-0163,353
146,3.024510091,11-36-43-0287,351
147,3.032533839,11-36-43-0368,352
148,3.044834005,11-36-43-0491,351
149,3.0536532,11-36-43-0579,352
150,3.065379914,11-36-43-0697,350
151,3.073523039,11-36-43-0778,351
152,3.086143637,11-36-43-0904,350
153,3.093981826,11-36-43-0983,351
154,3.10625211,11-36-43-1105,349
155,3.114557556,11-36-43-1188,350
156,3.126645637,11-36-43-1309,348
157,3.135263655,11-36-43-1395,350
158,3.143180203,11-36-43-1475,348
159,3.155503972,11-36-43-1598,349
160,3.163771351,11-36-43-1680,347
161,3.175891879,11-36-43-1802,349
162,3.184403402,11-36-43-1887,347
163,3.196491099,11-36-43-2008,348
164,3.204687575,11-36-43-2090,346
165,3.217090491,11-36-43-2213,348
166,3.225048368,11-36-43-2293,346
167,3.233554777,11-36-43-2378,347
168,3.245493189,11-36-43-2498,345
169,3.254159097,11-36-43-2583,347
170,3.266243477,11-36-43-2705,345
171,3.274206241,11-36-43-2785,346
172,3.286869771,11-36-43-2911,345
173,3.294712377,11-36-43-2990,345
174,3.30694647,11-36-43-3112,345
175,3.315431146,11-36-43-3197,345
176,3.327351952,11-36-43-3316,344
177,3.335966721,11-36-43-3402,344
178,3.347900216,11-36-43-3522,344
179,3.356223684,11-36-43-3605,344
180,3.364489577,11-36-43-3688,343
181,3.376598908,11-36-43-3809,344
182,3.385102539,11-36-43-3894,343
183,3.397071732,11-36-43-4014,343
184,3.405330737,11-36-43-4096,342
185,3.417823959,11-36-43-4221,343
186,3.425757339,11-36-43-4300,342
187,3.438130694,11-36-43-4424,342
188,3.446187954,11-36-43-4505,342
189,3.458517732,11-36-43-4628,341
190,3.467064898,11-36-43-4713,342
191,3.47895269,11-36-43-4832,340
192,3.487522114,11-36-43-4918,341
193,3.49541498,11-36-43-4997,340
194,3.50762662,11-36-43-5119,341
195,3.516179363,11-36-43-5204,340
196,3.528190873,11-36-43-5325,340
197,3.536792107,11-36-43-5410,339
198,3.548755596,11-36-43-5530,340
199,3.556829978,11-36-43-5611,339
200,3.564934175,11-36-43-5692,339
201,3.577308062,11-36-43-5816,339
